ANF, Abercrombie and Fitch, Abercrombie Kids, Hollister
AEO, American Eagle, Aerie
GPS, Gap, Banana Republic, Old Navy, Athleta, Hill City, Intermix
JWN, Nordstrom, HauteLook, Nordstrom Rack, Trunk Club, Jeffrey Boutique
RL, Ralph Lauren, Club Monaco Corporation, Polo
URBN, Urban Outfitters, Anthropologie, Free People, Terrain, BHLDN, Vetri Family
M, Macys, Bloomingdales, Bluemercury
ASNA, Ann Taylor, Cacique, Catherines, Lane Bryant, Lou and Grey, Loft, Justice, Dress Barn
LB, Victorias Secret, Pink, Bath & Body Works
YUM, KFC, Pizza Hut, Taco Bell
MCD, McDonalds, Krispy Kream
BOOT, Bootbarn
BURL, Burlington
CBKC, Christopher and Banks
FL, Footlocker
EXPR, Express
ROST, Ross Dress For Less
BKE, Buckle
ZUMZ, Zumiez
DDS, Dillards
KSS, Kohls
MIK, Michaels
GES, Guess
HOTT, Hot Topic
SCVL, Shoe Carnival
DG, Dollar General
FIVE, Five Below
